,name,symbol,country,has_intraday,has_eod,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
23,Apple Inc,AAPL,,False,True,194.2,195.99,193.67,195.71,53377300.0,195.99,193.67,195.71,194.2,53406358.0,1.0,0.0,AAPL,XNAS,2023-12-08
24,Apple Inc,AAPL,,False,True,193.63,195.0,193.59,194.27,47477700.0,195.0,193.59,194.27,193.63,47477655.0,1.0,0.0,AAPL,XNAS,2023-12-07
25,Apple Inc,AAPL,,False,True,194.45,194.76,192.11,192.32,41089700.0,194.76,192.11,192.32,194.45,40895115.0,1.0,0.0,AAPL,XNAS,2023-12-06
26,Apple Inc,AAPL,,False,True,190.21,194.4,190.18,193.42,66628400.0,194.4,190.18,193.42,190.21,66628398.0,1.0,0.0,AAPL,XNAS,2023-12-05
27,Apple Inc,AAPL,,False,True,189.98,190.05,187.45,189.43,43389500.0,190.05,187.4511,189.43,189.98,43389519.0,1.0,0.0,AAPL,XNAS,2023-12-04
28,Apple Inc,AAPL,,False,True,190.33,191.56,189.23,191.24,45679300.0,191.56,189.23,191.24,190.33,45704823.0,1.0,0.0,AAPL,XNAS,2023-12-01
29,Apple Inc,AAPL,,False,True,189.84,190.32,188.19,189.95,48794400.0,190.32,188.19,189.95,189.84,48794366.0,1.0,0.0,AAPL,XNAS,2023-11-30
30,Apple Inc,AAPL,,False,True,190.9,192.09,188.97,189.37,43014200.0,192.09,188.97,189.37,190.9,43014224.0,1.0,0.0,AAPL,XNAS,2023-11-29
31,Apple Inc,AAPL,,False,True,189.78,191.08,189.4,190.4,38415400.0,191.08,189.4,190.4,189.78,38415419.0,1.0,0.0,AAPL,XNAS,2023-11-28
32,Apple Inc,AAPL,,False,True,189.92,190.67,188.9,189.79,40552600.0,190.67,188.9,189.79,189.92,40552609.0,1.0,0.0,AAPL,XNAS,2023-11-27
33,Apple Inc,AAPL,,False,True,190.87,190.9,189.25,189.97,24048300.0,190.9,189.25,189.97,190.87,24048344.0,1.0,0.0,AAPL,XNAS,2023-11-24
34,Apple Inc,AAPL,,False,True,191.49,192.93,190.83,191.31,39617700.0,192.93,190.825,191.31,191.49,39630011.0,1.0,0.0,AAPL,XNAS,2023-11-22
35,Apple Inc,AAPL,,False,True,191.41,191.52,189.74,190.64,38134500.0,191.52,189.74,190.64,191.41,38134485.0,1.0,0.0,AAPL,XNAS,2023-11-21
36,Apple Inc,AAPL,,False,True,189.89,191.91,189.88,191.45,46505100.0,191.905,189.88,191.45,189.89,46538614.0,1.0,0.0,AAPL,XNAS,2023-11-20
37,Apple Inc,AAPL,,False,True,190.25,190.38,188.57,189.69,50922700.0,190.38,188.57,189.69,190.25,50941404.0,1.0,0.0,AAPL,XNAS,2023-11-17
38,Apple Inc,AAPL,,False,True,189.57,190.96,188.65,189.71,54412900.0,190.96,188.65,189.71,189.57,54412915.0,1.0,0.0,AAPL,XNAS,2023-11-16
39,Apple Inc,AAPL,,False,True,187.85,189.5,187.78,188.01,53790500.0,189.5,187.78,188.01,187.845,53790499.0,1.0,0.0,AAPL,XNAS,2023-11-15
40,Apple Inc,AAPL,,False,True,187.7,188.11,186.3,187.44,60108400.0,188.11,186.3,187.44,187.7,60108378.0,1.0,0.0,AAPL,XNAS,2023-11-14
41,Apple Inc,AAPL,,False,True,185.82,186.03,184.21,184.8,43627500.0,186.03,184.21,184.8,185.82,43627519.0,1.0,0.0,AAPL,XNAS,2023-11-13
42,Apple Inc,AAPL,,False,True,183.97,186.57,183.53,186.4,66133400.0,186.565,183.53,186.4,183.97,66177922.0,1.0,0.24,AAPL,XNAS,2023-11-10
43,Apple Inc,AAPL,,False,True,182.96,184.12,181.81,182.41,53763500.0,183.8832404629,181.5762108873,182.17,182.7247321046,53763540.0,1.0,0.0,AAPL,XNAS,2023-11-09
44,Apple Inc,AAPL,,False,True,182.35,183.45,181.59,182.89,49340300.0,183.2141020146,181.3564937848,182.6494,182.1155165024,49340282.0,1.0,0.0,AAPL,XNAS,2023-11-08
45,Apple Inc,AAPL,,False,True,179.18,182.44,178.97,181.82,70530000.0,182.2054007715,178.7398628375,181.5808,178.949592799,70529966.0,1.0,0.0,AAPL,XNAS,2023-11-07
46,Apple Inc,AAPL,,False,True,176.38,179.43,176.21,179.23,63841300.0,179.1992713245,175.983411916,178.9942,176.1531933133,63841310.0,1.0,0.0,AAPL,XNAS,2023-11-06
47,Apple Inc,AAPL,,False,True,174.24,176.82,173.35,176.65,79763700.0,176.5926275182,173.1270895842,176.4176,174.015945135,79829246.0,1.0,0.0,AAPL,XNAS,2023-11-03
48,Apple Inc,AAPL,,False,True,175.52,177.78,175.46,177.57,77334800.0,177.5513930562,175.2343763395,177.3364,175.2942991856,77334752.0,1.0,0.0,AAPL,XNAS,2023-11-02
49,Apple Inc,AAPL,,False,True,171.0,174.23,170.12,173.97,56934900.0,174.005957994,169.9012430347,173.7411,170.7801114445,56934906.0,1.0,0.0,AAPL,XNAS,2023-11-01
50,Apple Inc,AAPL,,False,True,169.35,170.9,167.9,170.77,44846000.0,170.6802400343,167.6840977282,170.5453,169.1322331762,44846017.0,1.0,0.0,AAPL,XNAS,2023-10-31
51,Apple Inc,AAPL,,False,True,169.02,171.17,168.87,170.29,51131000.0,170.9498928418,168.6528504072,170.0659,168.8026575225,51130955.0,1.0,0.0,AAPL,XNAS,2023-10-30
52,Apple Inc,AAPL,,False,True,166.91,168.96,166.83,168.22,58499100.0,168.7427346764,166.6154736391,167.9987,166.6953707673,58499129.0,1.0,0.0,AAPL,XNAS,2023-10-27
53,Apple Inc,AAPL,,False,True,170.37,171.38,165.67,166.89,70625300.0,171.157126018,165.4569652808,166.6704,170.1509215602,70625258.0,1.0,0.0,AAPL,XNAS,2023-10-26
54,Apple Inc,AAPL,,False,True,171.88,173.06,170.65,171.1,57157000.0,172.8374624946,170.4305615088,170.8749,171.6589798543,57156962.0,1.0,0.0,AAPL,XNAS,2023-10-25
55,Apple Inc,AAPL,,False,True,173.05,173.67,171.45,173.44,43816600.0,173.4466780969,171.2295327904,173.2118,172.8274753536,43816644.0,1.0,0.0,AAPL,XNAS,2023-10-24
56,Apple Inc,AAPL,,False,True,170.91,174.01,169.93,173.0,55980100.0,173.7862408916,169.7114873553,172.7724,170.6902271753,55980109.0,1.0,0.0,AAPL,XNAS,2023-10-23
57,Apple Inc,AAPL,,False,True,175.31,175.42,172.64,172.88,64189300.0,175.1944277754,172.4180025718,172.6525,175.0845692242,64244028.0,1.0,0.0,AAPL,XNAS,2023-10-20
58,Apple Inc,AAPL,,False,True,176.04,177.84,175.19,175.46,59302900.0,177.6113159023,174.9647235319,175.2291,175.8136305186,59302863.0,1.0,0.0,AAPL,XNAS,2023-10-19
59,Apple Inc,AAPL,,False,True,175.58,177.58,175.11,175.84,54764400.0,177.3466566652,174.8848264038,175.6086,175.3542220317,54764375.0,1.0,0.0,AAPL,XNAS,2023-10-18
60,Apple Inc,AAPL,,False,True,176.65,178.42,174.8,177.15,57549400.0,178.1905700814,174.5752250321,176.9169,176.4178525504,57549350.0,1.0,0.0,AAPL,XNAS,2023-10-17
61,Apple Inc,AAPL,,False,True,176.75,179.08,176.51,178.72,52517000.0,178.8447278183,176.2830261466,178.4849,176.5227175311,52516984.0,1.0,0.0,AAPL,XNAS,2023-10-16
