,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
193,336.92,337.3975,329.65,330.22,37679793.0,336.714361603,328.9825481885,329.5511,336.237828411,37679792.0,1.0,0.0,MSFT,XNAS,2023-09-15
194,174.0,176.1,173.58,175.74,60895800.0,175.8735533648,173.3567938277,175.5088,173.7762537505,60895757.0,1.0,0.0,AAPL,XNAS,2023-09-14
195,339.148,340.86,336.57,338.7,20267051.0,340.16985098,335.888537066,338.0139,338.4613173155,20267048.0,1.0,0.0,MSFT,XNAS,2023-09-14
196,176.51,177.3,173.98,174.21,84267900.0,177.0720102872,173.7562794685,173.9808,176.2830261466,84267928.0,1.0,0.0,AAPL,XNAS,2023-09-13
197,331.31,336.85,331.17,336.06,16544410.0,336.167970142,330.4994706009,335.3793,330.6391871389,16544412.0,1.0,0.0,MSFT,XNAS,2023-09-13
198,179.49,180.13,174.82,176.3,90370200.0,179.8983711959,174.5951993142,176.068,179.2591941706,90370192.0,1.0,0.0,AAPL,XNAS,2023-09-12
199,335.815,336.79,331.48,331.77,17565480.0,336.1080916257,330.808842935,331.098,335.1350657362,17565482.0,1.0,0.0,MSFT,XNAS,2023-09-12
200,180.07,180.3,177.34,179.36,58953100.0,180.0681525932,177.1119588513,179.124,179.8384483498,58953052.0,1.0,0.0,AAPL,XNAS,2023-09-11
201,337.24,338.42,335.43,337.94,16583320.0,337.734791318,334.7508452567,337.2555,336.5571804978,16583324.0,1.0,0.0,MSFT,XNAS,2023-09-11
202,178.35,180.24,177.79,178.18,65551300.0,180.007231033,177.5613801972,177.9456,178.1206600943,65602066.0,1.0,0.0,AAPL,XNAS,2023-09-08
203,330.09,336.16,329.46,334.27,19548170.0,335.4793672048,328.792932887,333.5929,329.4216573079,19548165.0,1.0,0.0,MSFT,XNAS,2023-09-08
204,175.18,178.21,173.54,177.56,112488800.0,177.98084012,173.3168452636,177.3264,174.9547363909,112488803.0,1.0,0.0,AAPL,XNAS,2023-09-07
205,331.29,333.08,329.03,329.91,18381000.0,332.4056033691,328.3638035203,329.2418,330.6192276335,18380995.0,1.0,0.0,MSFT,XNAS,2023-09-07
206,188.4,188.85,181.47,182.91,81755800.0,188.6071581655,181.2366480926,182.6693,188.1577368195,81755816.0,1.0,0.0,AAPL,XNAS,2023-09-06
207,333.38,334.46,330.18,332.88,17535770.0,333.7828092436,329.5114750823,332.2057,332.7049959505,17535773.0,1.0,0.0,MSFT,XNAS,2023-09-06
